[Header]
Data File Name	C:\GCMSsolution\Data\KOM\Huile essentielle\Essential oill.qgm1.QGD
Output Date	01/07/2008
Output Time	03:14:09

[MS Chromatogram]
m/z	1-1 TIC
Event Time(msec)	300
# of Points	9167
Start Time(min)	3.000
End Time(min)	48.830
Ret.Time	Absolute Intensity	Relative Intensity
5.390	67771	2.13
5.395	67191	2.11
5.400	68605	2.16
5.405	69177	2.17
5.410	68349	2.15
5.415	69571	2.19
5.420	69615	2.19
5.425	70373	2.21
5.430	66363	2.09
5.435	68504	2.15
5.440	67024	2.11
5.445	66693	2.10
5.450	69709	2.19
5.455	69948	2.20
5.460	68501	2.15
5.465	67203	2.11
5.470	71557	2.25
5.475	69053	2.17
5.480	70988	2.23
5.485	70201	2.21
5.490	69175	2.17
5.495	70019	2.20
5.500	72243	2.27
5.505	66263	2.08
5.510	69311	2.18
5.515	71355	2.24
5.520	68028	2.14
5.525	69216	2.18
5.530	66158	2.08
5.535	70678	2.22
5.540	68692	2.16
5.545	67756	2.13
5.550	69147	2.17
5.555	69226	2.18
5.560	66395	2.09
5.565	69827	2.19
5.570	67407	2.12
5.575	69179	2.17
5.580	69710	2.19
5.585	70101	2.20
5.590	68993	2.17
5.595	70394	2.21
5.600	70069	2.20
5.605	70565	2.22
5.610	67650	2.13
5.615	66857	2.10
5.620	68816	2.16
5.625	68309	2.15
5.630	71961	2.26
5.635	68254	2.14
5.640	67577	2.12
5.645	69048	2.17
5.650	68097	2.14
5.655	67981	2.14
5.660	69869	2.20
5.665	69496	2.18
5.670	69543	2.19
5.675	66769	2.10
5.680	69099	2.17
5.685	68898	2.17
5.690	73041	2.30
5.695	67606	2.12
5.700	68045	2.14
5.705	74982	2.36
5.710	68985	2.17
5.715	69293	2.18
5.720	71950	2.26
5.725	67971	2.14
5.730	65910	2.07
5.735	70236	2.21
5.740	68435	2.15
5.745	69227	2.18
5.750	69702	2.19
5.755	69502	2.18
5.760	68836	2.16
5.765	66112	2.08
5.770	70244	2.21
5.775	69177	2.17
5.780	68665	2.16
5.785	70588	2.22
5.790	71407	2.24
5.795	67609	2.12
5.800	70859	2.23
5.805	67534	2.12
5.810	69750	2.19
5.815	68408	2.15
5.820	67447	2.12
5.825	66284	2.08
5.830	70828	2.23
5.835	67156	2.11
5.840	66788	2.10
5.845	69387	2.18
5.850	71604	2.25
5.855	70655	2.22
5.860	68964	2.17
5.865	68082	2.14
5.870	68622	2.16
5.875	70379	2.21
5.880	70374	2.21
5.885	70075	2.20
5.890	69207	2.17
5.895	69176	2.17
5.900	69816	2.19
5.905	66936	2.10
5.910	69214	2.18
5.915	71876	2.26
5.920	66683	2.10
5.925	66976	2.10
5.930	67484	2.12
5.935	68815	2.16
5.940	69800	2.19
5.945	70996	2.23
5.950	68497	2.15
5.955	69952	2.20
5.960	70617	2.22
5.965	69443	2.18
5.970	66144	2.08
5.975	75790	2.38
5.980	69548	2.19
5.985	70488	2.22
5.990	70959	2.23
5.995	71595	2.25
6.000	71631	2.25
6.005	71910	2.26
6.010	68528	2.15
6.015	69311	2.18
6.020	68407	2.15
6.025	67600	2.12
6.030	68949	2.17
6.035	67505	2.12
6.040	69925	2.20
6.045	67729	2.13
6.050	68853	2.16
6.055	67778	2.13
6.060	66052	2.08
6.065	69346	2.18
6.070	70862	2.23
6.075	66123	2.08
6.080	72927	2.29
6.085	70699	2.22
6.090	69172	2.17
6.095	69362	2.18
6.100	66437	2.09
6.105	70741	2.22
6.110	68107	2.14
6.115	73015	2.29
6.120	69490	2.18
6.125	67991	2.14
6.130	69583	2.19
6.135	68816	2.16
6.140	66740	2.10
6.145	70329	2.21
6.150	69430	2.18
6.155	70176	2.21
6.160	68746	2.16
6.165	70281	2.21
6.170	68933	2.17
6.175	68557	2.15
6.180	68005	2.14
6.185	69514	2.18
6.190	68989	2.17
6.195	70467	2.21
6.200	68310	2.15
6.205	69228	2.18
6.210	71111	2.23
6.215	69388	2.18
6.220	70177	2.21
6.225	70711	2.22
6.230	67489	2.12
6.235	67086	2.11
6.240	67868	2.13
6.245	70143	2.20
6.250	69478	2.18
6.255	69537	2.19
6.260	69608	2.19
6.265	72060	2.26
6.270	70286	2.21
6.275	72326	2.27
6.280	66251	2.08
6.285	70586	2.22
6.290	70383	2.21
6.295	67154	2.11
6.300	69422	2.18
6.305	70199	2.21
6.310	65595	2.06
6.315	68262	2.15
6.320	67019	2.11
6.325	68459	2.15
6.330	69670	2.19
6.335	69165	2.17
6.340	69159	2.17
6.345	69124	2.17
6.350	70241	2.21
6.355	70103	2.20
6.360	66593	2.09
6.365	68344	2.15
6.370	66073	2.08
6.375	70740	2.22
6.380	69257	2.18
6.385	70219	2.21
6.390	69819	2.19
6.395	68722	2.16
6.400	72069	2.26
6.405	68295	2.15
6.410	68194	2.14
6.415	71853	2.26
6.420	68812	2.16
6.425	68107	2.14
6.430	72662	2.28
6.435	70042	2.20
6.440	70216	2.21
6.445	70922	2.23
6.450	67453	2.12
6.455	67614	2.12
6.460	66391	2.09
6.465	70216	2.21
6.470	71181	2.24
6.475	69400	2.18
6.480	69847	2.20
6.485	71249	2.24
6.490	70466	2.21
6.495	69375	2.18
6.500	69980	2.20
6.505	71161	2.24
6.510	69079	2.17
6.515	68715	2.16
6.520	74156	2.33
6.525	69088	2.17
6.530	69923	2.20
6.535	70741	2.22
6.540	68106	2.14
6.545	68919	2.17
6.550	69677	2.19
6.555	68969	2.17
6.560	68420	2.15
6.565	71697	2.25
6.570	69767	2.19
6.575	68138	2.14
6.580	70976	2.23
6.585	70618	2.22
6.590	67745	2.13
6.595	73044	2.30
6.600	71066	2.23
6.605	70027	2.20
6.610	72455	2.28
6.615	69169	2.17
6.620	70098	2.20
6.625	72924	2.29
6.630	69363	2.18
6.635	69197	2.17
6.640	67322	2.12
6.645	69617	2.19
6.650	68077	2.14
6.655	68772	2.16
6.660	72842	2.29
6.665	66944	2.10
6.670	71392	2.24
6.675	69441	2.18
6.680	67164	2.11
6.685	69876	2.20
6.690	71537	2.25
6.695	70197	2.21
6.700	66386	2.09
6.705	67333	2.12
6.710	71406	2.24
6.715	70942	2.23
6.720	65375	2.05
6.725	69686	2.19
6.730	68857	2.16
6.735	71066	2.23
6.740	71640	2.25
6.745	69954	2.20
6.750	71506	2.25
6.755	68189	2.14
6.760	68361	2.15
6.765	71703	2.25
6.770	69082	2.17
6.775	70282	2.21
6.780	67973	2.14
6.785	68947	2.17
6.790	73626	2.31
6.795	70889	2.23
6.800	69069	2.17
6.805	72552	2.28
6.810	68559	2.15
6.815	69803	2.19
6.820	73915	2.32
6.825	69666	2.19
6.830	70092	2.20
6.835	70840	2.23
6.840	71846	2.26
6.845	72475	2.28
6.850	70275	2.21
6.855	70846	2.23
6.860	71890	2.26
6.865	69388	2.18
6.870	71100	2.23
6.875	69000	2.17
6.880	71600	2.25
6.885	69910	2.20
6.890	70823	2.23
6.895	72252	2.27
6.900	67566	2.12
6.905	70984	2.23
6.910	69760	2.19
6.915	68724	2.16
6.920	71539	2.25
6.925	69140	2.17
6.930	68397	2.15
6.935	69420	2.18
6.940	66701	2.10
6.945	70167	2.21
6.950	73116	2.30
6.955	66238	2.08
6.960	74911	2.35
6.965	68969	2.17
6.970	74754	2.35
6.975	70260	2.21
6.980	72297	2.27
6.985	71429	2.24
6.990	71790	2.26
6.995	68589	2.16
7.000	69588	2.19
7.005	66329	2.08
7.010	70791	2.22
7.015	71610	2.25
7.020	71396	2.24
7.025	71151	2.24
7.030	70729	2.22
7.035	69410	2.18
7.040	68745	2.16
7.045	69522	2.18
7.050	67437	2.12
7.055	73799	2.32
7.060	68723	2.16
7.065	71329	2.24
7.070	69787	2.19
7.075	70904	2.23
7.080	72838	2.29
7.085	69073	2.17
7.090	73805	2.32
7.095	68255	2.14
7.100	73964	2.32
7.105	72121	2.27
7.110	68564	2.15
7.115	71110	2.23
7.120	70200	2.21
7.125	67642	2.13
7.130	72635	2.28
7.135	71804	2.26
7.140	71965	2.26
7.145	71567	2.25
7.150	68892	2.17
7.155	71910	2.26
7.160	72203	2.27
7.165	70104	2.20
7.170	74086	2.33
7.175	72300	2.27
7.180	68026	2.14
7.185	68187	2.14
7.190	69051	2.17
7.195	70559	2.22
7.200	68069	2.14
7.205	69062	2.17
7.210	69820	2.19
7.215	70928	2.23
7.220	68605	2.16
7.225	69613	2.19
7.230	69611	2.19
7.235	71034	2.23
7.240	69388	2.18
7.245	68025	2.14
7.250	71046	2.23
7.255	74089	2.33
7.260	71116	2.23
7.265	70072	2.20
7.270	72696	2.28
7.275	72060	2.26
7.280	72062	2.26
7.285	71224	2.24
7.290	71606	2.25
7.295	70630	2.22
7.300	69924	2.20
7.305	70478	2.21
7.310	70584	2.22
7.315	69712	2.19
7.320	70432	2.21
7.325	68977	2.17
7.330	69270	2.18
7.335	68758	2.16
7.340	69005	2.17
7.345	72105	2.27
7.350	70711	2.22
7.355	69418	2.18
7.360	73557	2.31
7.365	71843	2.26
7.370	69131	2.17
7.375	68797	2.16
7.380	69101	2.17
7.385	71692	2.25
7.390	69507	2.18
7.395	72074	2.27
7.400	71488	2.25
7.405	68784	2.16
7.410	68398	2.15
7.415	69480	2.18
7.420	69562	2.19
7.425	71067	2.23
7.430	70387	2.21
7.435	74039	2.33
7.440	74586	2.34
7.445	75351	2.37
7.450	75139	2.36
7.455	75800	2.38
7.460	79250	2.49
7.465	82357	2.59
7.470	83773	2.63
7.475	82783	2.60
7.480	79879	2.51
7.485	79181	2.49
7.490	82480	2.59
7.495	80777	2.54
7.500	80388	2.53
7.505	76048	2.39
7.510	75954	2.39
7.515	76712	2.41
7.520	77501	2.44
7.525	76890	2.42
7.530	76711	2.41
7.535	76052	2.39
7.540	75076	2.36
7.545	74366	2.34
7.550	75749	2.38
7.555	76682	2.41
7.560	72965	2.29
7.565	73731	2.32
7.570	74580	2.34
7.575	74477	2.34
7.580	75126	2.36
7.585	71385	2.24
7.590	71845	2.26
7.595	73382	2.31
7.600	72253	2.27
7.605	73436	2.31
7.610	73685	2.32
7.615	76011	2.39
7.620	75444	2.37
7.625	74271	2.33
7.630	71769	2.26
7.635	72838	2.29
7.640	77402	2.43
7.645	73411	2.31
7.650	74341	2.34
7.655	75010	2.36
7.660	69690	2.19
7.665	77046	2.42
7.670	73969	2.32
7.675	73676	2.32
7.680	73964	2.32
7.685	71074	2.23
7.690	73710	2.32
7.695	72813	2.29
7.700	72818	2.29
7.705	70965	2.23
7.710	71124	2.24
7.715	71104	2.23
7.720	73141	2.30
7.725	73886	2.32
7.730	71539	2.25
7.735	73847	2.32
7.740	74572	2.34
7.745	75135	2.36
7.750	71899	2.26
7.755	75962	2.39
7.760	73511	2.31
7.765	69007	2.17
7.770	74039	2.33
7.775	72698	2.28
7.780	74045	2.33
7.785	75724	2.38
7.790	71354	2.24
7.795	76019	2.39
7.800	75553	2.37
7.805	69771	2.19
7.810	76991	2.42
7.815	71342	2.24
7.820	76547	2.41
7.825	74693	2.35
7.830	73919	2.32
7.835	71442	2.25
7.840	76238	2.40
7.845	73465	2.31
7.850	75387	2.37
7.855	74188	2.33
7.860	73149	2.30
7.865	71406	2.24
7.870	70898	2.23
7.875	73110	2.30
7.880	68882	2.16
7.885	69093	2.17
7.890	70778	2.22
7.895	71891	2.26
7.900	74389	2.34
7.905	72423	2.28
7.910	71815	2.26
7.915	71809	2.26
7.920	70278	2.21
7.925	72321	2.27
7.930	70809	2.23
7.935	70920	2.23
7.940	73306	2.30
7.945	69601	2.19
7.950	73644	2.31
7.955	72344	2.27
7.960	70198	2.21
7.965	74707	2.35
7.970	73203	2.30
7.975	73107	2.30
7.980	73345	2.30
7.985	71907	2.26
7.990	70051	2.20
7.995	73783	2.32
8.000	71948	2.26
8.005	73161	2.30
8.010	72821	2.29
8.015	74709	2.35
8.020	75672	2.38
8.025	71891	2.26
8.030	74675	2.35
8.035	72429	2.28
8.040	72805	2.29
8.045	72663	2.28
8.050	68740	2.16
8.055	71124	2.24
8.060	70765	2.22
8.065	71344	2.24
8.070	74417	2.34
8.075	72799	2.29
8.080	73535	2.31
8.085	71893	2.26
8.090	73781	2.32
8.095	73303	2.30
8.100	71206	2.24
8.105	72131	2.27
8.110	70252	2.21
8.115	70455	2.21
8.120	70562	2.22
8.125	70100	2.20
8.130	69103	2.17
8.135	70387	2.21
8.140	71400	2.24
8.145	74586	2.34
8.150	68551	2.15
8.155	70580	2.22
8.160	71680	2.25
8.165	71389	2.24
8.170	72523	2.28
8.175	71990	2.26
8.180	70955	2.23
8.185	70889	2.23
8.190	75054	2.36
8.195	71862	2.26
8.200	72089	2.27
8.205	72532	2.28
8.210	71427	2.24
8.215	74599	2.34
8.220	73483	2.31
8.225	74203	2.33
8.230	69769	2.19
8.235	71453	2.25
8.240	73485	2.31
8.245	70568	2.22
8.250	73769	2.32
8.255	69666	2.19
8.260	70093	2.20
8.265	70638	2.22
8.270	69082	2.17
8.275	71842	2.26
8.280	69801	2.19
8.285	67960	2.14
8.290	73327	2.30
8.295	68382	2.15
8.300	70768	2.22
8.305	68563	2.15
8.310	64180	2.02
8.315	70153	2.20
8.320	71809	2.26
8.325	71887	2.26
8.330	72112	2.27
8.335	69504	2.18
8.340	73096	2.30
8.345	74286	2.33
8.350	69260	2.18
8.355	70676	2.22
8.360	67489	2.12
8.365	67045	2.11
8.370	68330	2.15
8.375	70407	2.21
8.380	73234	2.30
8.385	70135	2.20
8.390	72905	2.29
8.395	72894	2.29
8.400	70658	2.22
8.405	71990	2.26
8.410	72683	2.28
8.415	73354	2.31
8.420	70602	2.22
8.425	70498	2.22
8.430	71431	2.24
8.435	71733	2.25
8.440	68730	2.16
8.445	71976	2.26
8.450	70193	2.21
8.455	71894	2.26
8.460	71115	2.23
8.465	71287	2.24
8.470	69519	2.18
8.475	69820	2.19
8.480	66574	2.09
8.485	69156	2.17
8.490	66645	2.09
8.495	70817	2.23
8.500	68190	2.14
8.505	70271	2.21
8.510	71438	2.25
8.515	71690	2.25
8.520	69330	2.18
8.525	69572	2.19
8.530	69470	2.18
8.535	72013	2.26
8.540	69609	2.19
8.545	70320	2.21
8.550	73971	2.32
8.555	70909	2.23
8.560	70813	2.23
8.565	68738	2.16
8.570	69981	2.20
